#{"t_start": 1745342090.7553267, "env_id": "None"}
r,l,t
-18662.939027,1,1.158067
-17534.559661,1,1.160263
-17932.715525,1,1.163393
-19546.094117,1,1.165479
-18829.95693,1,1.167521
-18905.961316,1,1.169587
-18969.069635,1,1.172607
-18881.471478,1,1.174601
-17865.170641,1,1.176594
-15569.628042,1,1.179584
-18131.541331,1,1.181577
-18147.730211,1,1.182575
-19583.898312,1,1.186072
-19551.416293,1,1.188179
-17506.08859,1,1.190197
-18526.78256,1,1.193208
-18391.982918,1,1.195213
-18324.802595,1,1.197223
-18198.034569,1,1.199228
-18397.602531,1,1.201235
-18754.934616,1,1.203581
-16638.948764,1,1.206602
-18158.243405,1,1.208595
-18290.665801,1,1.210588
-20227.055731,1,1.212582
-17019.866435,1,1.214575
-20265.007918,1,1.217565
-18143.471723,1,1.219558
-16627.657723,1,1.221552
-19923.909127,1,1.223545
-17146.914053,1,1.225743
-16518.496029,1,1.22877
-18078.924431,1,1.230805
-17578.952936,1,1.232857
-18414.173945,1,1.23488
-17909.956779,1,1.236904
-18970.246482,1,1.238928
-18892.864229,1,1.242498
-18119.764408,1,1.24559
-18347.007212,1,1.248724
-19104.309551,1,1.250765
-17915.35959,1,1.252758
-19627.127586,1,1.254751
-17410.89851,1,1.256744
-20012.271896,1,1.259735
-17914.421718,1,1.261728
-18029.314571,1,1.263986
-18992.738978,1,1.26602
-16726.98555,1,1.270164
-17973.66331,1,1.272216
-18495.031742,1,1.274269
-18305.972215,1,1.27727
-17377.220317,1,1.279263
-16426.530059,1,1.281257
-18235.306253,1,1.28325
-18212.140789,1,1.285748
-18427.032991,1,1.287741
-18644.896156,1,1.28983
-19341.661842,1,1.292985
-19172.806252,1,1.295123
-18711.51581,1,1.29717
-18279.960364,1,1.30016
-18517.876045,1,1.302154
-19611.269752,1,1.304147
-18134.400215,1,1.30614
-17448.838502,1,1.308603
-18426.286307,1,1.310799
-16098.939937,1,1.313912
-19645.951518,1,1.315944
-19642.294264,1,1.317969
-18732.301215,1,1.319996
-18671.166688,1,1.322007
-19075.268842,1,1.324432
-19556.911026,1,1.327489
-18173.703418,1,1.329516
-19561.872671,1,1.331619
-16775.540432,1,1.333712
-18440.416251,1,1.335736
-16929.511235,1,1.338772
-17591.278209,1,1.340809
-17899.532339,1,1.343075
-18728.423965,1,1.345068
-16073.444534,1,1.348058
-18202.227841,1,1.350052
-19011.413803,1,1.352045
-17881.878566,1,1.354209
-19651.679188,1,1.357225
-18797.173742,1,1.360896
-20579.867794,1,1.364008
-17722.444535,1,1.366063
-17339.177692,1,1.36913
-17698.130147,1,1.371201
-17196.308763,1,1.373417
-18050.936145,1,1.376579
-19098.629285,1,1.379773
-17275.400463,1,1.381804
-19155.900302,1,1.38431
-17786.351367,1,1.386328
-18289.67109,1,1.388479
-17098.610674,1,1.390548
-17689.532925,1,1.393833
-17555.221948,1,1.395913
-18494.877042,1,1.397964
-17933.182889,1,1.40001
-18502.814664,1,1.40309
-19572.529004,1,1.405219
-17012.030169,1,1.407241
-18971.508762,1,1.409264
-19255.417149,1,1.411423
-19862.824137,1,1.413487
-17655.883884,1,1.415572
-20437.895941,1,1.417602
-16937.396287,1,1.421963
-17660.186238,1,1.424953
-19375.979512,1,1.427943
-17624.040229,1,1.429936
-17910.074113,1,1.43193
-18753.09578,1,1.433923
-19420.001895,1,1.437178
-17005.045263,1,1.439444
-20527.167667,1,1.441714
-19176.544032,1,1.443707
-18681.541019,1,1.4457
-18870.958757,1,1.44869
-17497.479903,1,1.475918
-19331.117084,1,1.481165
-18025.411759,1,1.483413
-17395.468345,1,1.485932
-18004.605599,1,1.488152
-17628.089344,1,1.490297
-17950.005546,1,1.492545
-19754.719232,1,1.494962
-17638.747821,1,1.497253
-19234.620749,1,1.499517
-17707.190808,1,1.501701
-16411.890905,1,1.503903
-18037.953407,1,1.506137
-18019.701369,1,1.508285
-18952.359054,1,1.51074
-18155.305287,1,1.512998
-18301.462124,1,1.515187
-20245.699646,1,1.517647
-17848.045518,1,1.51988
-18607.59184,1,1.522346
-17318.75046,1,1.52455
-18812.121904,1,1.526873
-19641.978898,1,1.528204
-19291.043607,1,1.530407
-19271.980521,1,1.53258
-18256.477159,1,1.535014
-19011.605492,1,1.537195
-18106.678257,1,1.539403
-18953.157516,1,1.541539
-18936.939776,1,1.543714
-19810.321959,1,1.545915
-17784.356362,1,1.548102
-19203.958894,1,1.551232
-18898.18633,1,1.554222
-18614.204683,1,1.557254
-18280.198301,1,1.559671
-19679.946959,1,1.563035
-18879.78312,1,1.565212
-17715.551268,1,1.567434
-19459.242711,1,1.569622
-17554.232697,1,1.571866
-17895.93374,1,1.575067
-17546.878112,1,1.577178
-16783.968639,1,1.580167
-17391.19542,1,1.582258
-19734.132241,1,1.584757
-18409.382835,1,1.586752
-18045.674561,1,1.588773
-19825.797979,1,1.590766
-17541.09823,1,1.593638
-20849.147294,1,1.595643
-18829.967479,1,1.597649
-19332.904389,1,1.600664
-17457.843169,1,1.602658
-18606.268615,1,1.604774
-17483.84136,1,1.607909
-20002.107111,1,1.611658
-17641.122497,1,1.614771
-17952.305374,1,1.617775
-19410.336634,1,1.619801
-19547.981254,1,1.621794
-18518.060917,1,1.62484
-16345.896663,1,1.629305
-18562.691607,1,1.632753
-18325.057407,1,1.634766
-18780.996775,1,1.636787
-19796.808117,1,1.640299
-20223.295347,1,1.642328
-16904.130444,1,1.645361
-18548.276288,1,1.6484
-18929.999992,1,1.650393
-16363.641105,1,1.652387
-18712.910824,1,1.65438
-18869.060725,1,1.657709
-17546.677083,1,1.66099
-16032.675037,1,1.663037
-18071.177812,1,1.666114
-18161.702359,1,1.668347
-19486.046103,1,1.670625
-17877.04997,1,1.673804
-18992.787175,1,1.676934
-17783.739849,1,1.679162
-20546.158262,1,1.681259
-18993.967723,1,1.683608
-19731.637047,1,1.686106
-19773.237734,1,1.688099
-15638.057936,1,1.691453
-19774.007451,1,1.693636
-17025.144539,1,1.695918
-18593.821433,1,1.697986
-21161.554397,1,1.700235
-19211.97197,1,1.702478
-18118.727915,1,1.705652
-18809.192127,1,1.707733
-17315.038028,1,1.710996
-18121.336315,1,1.71309
-18636.709747,1,1.71522
-18614.434056,1,1.717488
-18227.579867,1,1.719854
-19919.30836,1,1.722129
-19449.494718,1,1.724307
-17715.938258,1,1.726485
-17271.828611,1,1.728641
-17447.616761,1,1.731913
-18514.398598,1,1.733962
-18387.759525,1,1.737373
-17712.705386,1,1.739697
-17663.992453,1,1.742972
-17658.911531,1,1.745118
-19554.597006,1,1.747305
-19818.432735,1,1.749715
-18695.056358,1,1.751943
-16498.63834,1,1.755021
-18797.545702,1,1.757029
-19987.515331,1,1.759258
-19169.675635,1,1.762495
-18752.751002,1,1.764488
-18020.874475,1,1.766583
-19247.077532,1,1.769003
-18895.289481,1,1.771061
-18249.203533,1,1.774071
-17662.393147,1,1.776441
-17020.41729,1,1.778575
-18612.335471,1,1.780581
-18545.189169,1,1.782614
-17715.256079,1,1.78576
-19613.522306,1,1.787849
-19067.205044,1,1.789859
-18245.229024,1,1.791902
-18167.226292,1,1.794963
-17017.007743,1,1.797102
-17612.231134,1,1.799108
-17951.141226,1,1.801508
-17118.196451,1,1.803598
-18486.983967,1,1.805604
-19398.08589,1,1.80873
-17055.692609,1,1.812059
-18036.937143,1,1.814137
-17098.870013,1,1.817391
-17369.529705,1,1.820763
-18834.774565,1,1.822987
-18041.811971,1,1.826125
-17132.628184,1,1.828351
-18483.058073,1,1.830592
-19213.976586,1,1.833776
-18734.162864,1,1.836007
-17195.336999,1,1.838217
-18828.94368,1,1.839319
-17670.613209,1,1.842595
-18629.922473,1,1.844844
-19157.411682,1,1.847081
-19073.570866,1,1.849206
-18012.137422,1,1.851398
-18328.383214,1,1.853587
-19778.859432,1,1.855776
-18845.806326,1,1.857839
-18378.73896,1,1.8601
-19294.61711,1,1.862334
-18721.250193,1,1.865649
-17793.341427,1,1.868639
-18091.960613,1,1.870634
-19823.659147,1,1.873675
-16917.288125,1,1.875667
-17690.13948,1,1.87766
-17562.631771,1,1.879654
-19645.424179,1,1.882644
-18323.258058,1,1.885139
-18088.695086,1,1.887134
-18132.896117,1,1.889379
-18351.443919,1,1.89155
-18161.193926,1,1.893771
-18929.660572,1,1.896006
-19327.026723,1,1.899118
-17293.248833,1,1.901373
-19497.056229,1,1.903568
-17254.46548,1,1.905646
-16819.041391,1,1.90819
-16997.733992,1,1.910211
-19183.93473,1,1.912243
-17060.103777,1,1.915499
-18609.766845,1,1.91764
-19925.765034,1,1.91965
-19363.239218,1,1.922825
-19282.234327,1,1.92485
-20021.236481,1,1.926859
-20197.747421,1,1.928889
-18659.793651,1,1.932055
-18779.67819,1,1.934274
-20851.914131,1,1.936484
-17183.208295,1,1.939658
-18725.539206,1,1.941736
-17969.06136,1,1.944768
-19209.993649,1,1.946775
-17012.589534,1,1.94984
